Pais,Felicidad,GDP,Esperanza_vida,Desempleo,Escolaridad_promedio_adultos
Afghanistan,2.403800011,20116137326,63.2,11.71,2.8457184
Albania,5.198800087,15131866271,78,11.69,10.121144
Algeria,5.122300148,1.45009E+11,77.1,14.057,7.2156105
Argentina,5.967000008,3.89591E+11,76.6,11.461,11.14
Armenia,5.398600101,12641209802,76,18.175,11.33
Australia,7.162099838,1.32784E+12,83,6.456,12.64
Austria,7.163000107,4.33258E+11,81.6,5.201,12.310628
Azerbaijan,5.173399925,42693000000,71.4,7.24,10.7475
Bahrain,6.646900177,34723357447,,1.781,11
Bangladesh,5.155499935,3.73902E+11,74.3,5.436,7.1
Belarus,5.821499825,61489588895,74.8,4.049,12.237297
Belgium,6.804999828,5.21677E+11,,5.545,12.533869
Benin,4.62319994,15651545332,63.4,1.502,3.1138701
Bolivia,5.600299835,36629843806,72.1,7.903,9.83
Bosnia and Herzegovina,5.768000126,19955120005,76.8,15.868,10.54
Botswana,3.471100092,14930072799,62.2,21.017,10.42
Brazil,6.29279995,1.44857E+12,75.9,13.697,8.274219
Bulgaria,5.370900154,69889347433,75.1,5.125,11.41
Burkina Faso,4.670499802,17933606353,62.7,5.04,2.183275
Cambodia,4.640299797,25872798012,,0.172,4.997735
Cameroon,5.047599792,40804449726,,3.87,6.5374017
Canada,7.025100231,1.64542E+12,82.2,9.657,13.842
Chad,4.250800133,10715396135,59.6,1.707,2.2833056
Chile,6.171800137,2.52727E+11,80.7,10.934,11.111555
China,5.585299969,1.46877E+13,,5,7.95
Colombia,5.780600071,2.703E+11,79.3,15.983,8.86
Comoros,4.60860014,1223876065,67.4,4.471,5.7257824
Congo,5.075200081,48716960860,,22.198,8.250552
Costa Rica,6.581999779,62158002233,80.8,16.432,8.8
Croatia,6.125199795,57203783203,,7.507,11.950723
Cyprus,6.220900059,24692095945,83.1,7.755,12.44
Czechia,6.919799805,2.45339E+11,,2.55,12.916507
Denmark,7.636199951,3.56085E+11,81.3,5.637,12.96
Dominican Republic,5.737199783,78844702329,,6.126,9.150424
Ecuador,5.533299923,99291124000,78.4,6.127,8.82
Egypt,4.287700176,3.65253E+11,71.8,7.974,9.852942
El Salvador,6.119999886,24638720000,75,5.008,7.15
Estonia,6.340799809,30650285472,78.9,6.956,13.55
Eswatini,4.396100044,3984840580,57.7,32.944,8.286079
Ethiopia,4.241499901,1.07658E+11,68.7,3.994,2.3910072
Finland,7.821000099,2.71837E+11,,7.759,12.924697
France,6.686699867,2.63032E+12,82.5,8.009,11.687574
Gabon,4.958300114,15316824039,66.5,21.27,9.55
Gambia,5.163599968,1830413000,65.5,5.892,4.51242
Georgia,4.973199844,15842922533,73.3,11.73,12.78
Germany,7.034100056,3.84641E+12,81.7,3.881,14.26
Ghana,4.872000217,70043199814,66.3,3.313,6.7125263
Greece,5.948200226,1.88835E+11,81.1,15.899,11.41
Guatemala,6.262199879,77604632621,72,2.955,5.7357664
Guinea,4.890500069,14169626010,61,6.018,2.3613849
Honduras,6.022099972,23827840810,71.9,10.982,7.29709
Hong Kong,5.424799919,3.44881E+11,,5.808,12.2699995
Hungary,6.08589983,1.56743E+11,,4.25,12.25
Iceland,7.557499886,21718075725,82.3,5.478,13.77
India,3.777100086,2.66769E+12,71.3,7.859,6.49
Indonesia,5.239600182,1.05869E+12,77.3,4.255,8.56
Iran,4.887899876,2.31548E+11,72.4,9.687,10.73718
Iraq,4.940899849,1.8437E+11,81.8,15.778,6.749181
Ireland,7.040800095,4.25889E+11,82.6,5.623,11.650543
Israel,7.363800049,4.07101E+11,,4.169,13.43709
Italy,6.466700077,1.89257E+12,,9.164,10.74
Ivory Coast,5.234600067,61348579465,62.9,2.584,
Jamaica,5.849599838,13812425037,76,6.501,9.683563
Japan,6.038899899,5.04011E+12,,2.809,12.67
Jordan,4.152100086,43697659296,77.9,19.213,10.45
Kazakhstan,6.234099865,1.71082E+11,,4.89,12.433761
Kenya,4.543000221,1.00667E+11,66.1,5.619,7.68636
Kosovo,6.45510006,7716925356,,,
Kuwait,6.106100082,1.0596E+11,81,3.557,7.4488673
Kyrgyzstan,5.828499794,7780874537,,4.63,11.961875
Laos,5.140299797,18981800705,68.5,2.361,5.9469705
Latvia,6.180399895,33645460617,75.4,8.098,13.329481
Lebanon,2.955300093,25948915861,,13.284,10.37
Lesotho,3.511800051,2250717718,50.7,18.399,7.544117
Liberia,5.121500015,3039982540,64.1,4.109,5.85686
Libya,5.330200195,52320215472,,19.613,7.7786064
Lithuania,6.445600033,56546957475,76,8.487,13.5
Luxembourg,7.403999805,73353132794,82.4,6.766,12.566043
Madagascar,4.339099884,13225591804,65.3,3.284,4.7516804
Malawi,3.750400066,12172128470,65.6,5.728,5.24374
Malaysia,5.711299896,3.37006E+11,74.7,4.54,10.796666
Mali,4.479000092,17465392779,62.8,3.528,1.63
Malta,6.446899891,14917038504,81.9,4.347,12.21
Mauritania,4.152599812,7915985514,68.4,11.054,4.754063
Mauritius,6.071100235,10926820603,74.1,8.626,9.991968
Mexico,6.127600193,1.08712E+12,76,4.44,9.22
Moldova,5.856800079,11859730544,73.3,1.186,11.8
Mongolia,5.760700226,13312981595,68.1,6.594,9.42
Montenegro,5.546800137,4780722122,75.9,17.878,12.617428
Morocco,5.059899807,1.14725E+11,73,11.223,6.05
Mozambique,5.048299789,14028811072,58.1,3.921,3.86
Myanmar,4.394199848,78930257227,69.1,1.476,6.38
Namibia,4.459400177,10562637376,64.6,21.004,7.242285
Nepal,5.37650013,33433670512,70.9,12.975,4.41849
Netherlands,7.414899826,9.13865E+11,,3.82,12.58
New Zealand,7.199800014,2.11735E+11,82,4.595,12.94
Nicaragua,6.164599895,12586941393,75,6.201,9.790079
Niger,5.003499985,13741378450,63.3,0.594,1.3413525
Nigeria,4.552000046,4.32294E+11,62.6,5.742,7.38897
North Macedonia,5.198999882,12116981815,74.8,16.575,10.23
Norway,7.365099907,3.62198E+11,82.6,4.424,13.058847
Pakistan,4.515799999,3.00306E+11,65.6,6.127,4.427089
Panama,6.309100151,53977037000,79.3,14.663,10.685866
Paraguay,5.578299999,35432178068,75.8,7.548,8.86
Peru,5.559100151,2.01705E+11,79.9,7.179,10.021359
Philippines,5.903600216,3.61751E+11,70.4,2.522,8.89
Poland,6.122799873,5.96624E+11,78.3,3.155,13.16
Portugal,6.016300201,2.28539E+11,81.6,6.801,9.58
Romania,6.477000237,2.49511E+11,75.6,5.035,11.39
Russia,5.458600044,1.48832E+12,73.2,5.62,12.403636
Rwanda,3.268199921,10184345442,69.1,11.829,4.87831
Saudi Arabia,6.522799969,7.03368E+11,74.3,7.66,11.31
Senegal,5.04610014,24493157583,68.6,3.437,2.887632
Serbia,6.177999973,53335016425,75.9,9.011,11.505057
Sierra Leone,3.573999882,4063289450,60.8,3.508,3.5192273
Singapore,6.480199814,3.45296E+11,83.2,4.1,11.76
Slovakia,6.390699863,1.05173E+11,78.2,6.719,13.006243
Slovenia,6.630099773,53589609581,81.3,4.971,12.87538
South Africa,5.193900108,3.35442E+11,,29.217,10.55466
South Korea,5.935100079,1.6379E+12,83.3,3.931,12.619794
Spain,6.476299763,1.28148E+12,,15.532,10.61
Sri Lanka,4.362199783,80969683537,76.9,5.364,10.82
Sweden,7.384300232,5.41487E+11,82.4,8.291,12.674995
Switzerland,7.511600018,7.52248E+11,83.4,4.817,13.904489
Tajikistan,5.377099991,8133996648,69.5,12.321,11.288484
Tanzania,3.702399969,62409709111,67.3,2.781,5.82725
Thailand,5.891200066,4.99682E+11,77.7,1.099,8.8133335
Togo,4.112299919,7574636979,64.3,2.225,5.5925837
Tunisia,4.515999794,42514151614,,17.656,7.39164
Turkey,4.74420023,7.19955E+11,,13.148,8.806321
Uganda,4.602600098,37600368181,66.7,3.831,6.2344165
Ukraine,5.08409977,1.56618E+11,73,9.475,11.1268
United Arab Emirates,6.576000214,3.58869E+11,76.1,4.294,12.7300005
United Kingdom,6.942500114,2.7569E+12,81.4,4.472,13.41
United States,6.976799965,2.08937E+13,78.5,8.055,13.68
Uruguay,6.473599911,53560755047,77.1,10.413,9.5
Uzbekistan,6.062699795,59894305353,73,5.293,11.89
Vietnam,5.485000134,3.43243E+11,73.7,2.103,8.62
Yemen,4.196899891,18840511908,66.6,17.953,4.8356786
Zambia,3.759799957,18110631358,62.5,6.033,7.284893
Zimbabwe,2.995100021,18051170799,,8.621,8.808313
